ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,yaw_rms,yaw_ratio,dmg,codekey,tele_files,wall_s,status,car_model,controller,brake_temp_start,brake_temp_end,env_temp
15:49:56,straight,etk800,DynamicABS1.pc,straight,1,60,0.0,0.0,1.0,1788821408-0001,32.7043,107.30,1.1197,2.29,60.0,32.70,1.120,0.00,0.2,0.1,0.8,0.0,1.139,0.2967,0,6b41ae38-d111e559-110747,1,17.0,OK,etk800,DynamicABS,15.0,50.1,15.0
15:50:37,straight,etk800,StockABS1.pc,straight,1,60,0.0,0.0,1.0,1788821448-0001,32.6925,107.26,1.1201,2.31,60.0,32.69,1.120,0.00,0.2,0.2,0.8,0.0,1.120,0.2819,0,,0,15.8,OK,etk800,StockABS,15.0,48.8,15.0
15:51:17,straight,etk800,DynamicABS1.pc,straight,1,80,0.0,0.0,1.0,1788821489-0001,55.6645,182.63,1.1702,3.01,80.0,55.66,1.170,0.00,0.2,0.2,1.2,0.0,1.605,0.2493,0,6b41ae38-d111e559-110747,1,17.6,OK,etk800,DynamicABS,15.0,72.9,15.0
15:52:00,straight,etk800,StockABS1.pc,straight,1,80,0.0,0.0,1.0,1788821533-0001,57.9263,190.05,1.1245,3.09,80.0,57.93,1.125,0.00,0.2,0.2,1.3,0.0,1.580,0.2575,0,,0,18.4,OK,etk800,StockABS,15.0,73.1,15.0
15:52:42,straight,etk800,DynamicABS1.pc,straight,1,120,0.0,0.0,1.0,1788821577-0001,123.8027,406.18,1.1843,4.51,120.0,123.80,1.184,0.00,0.2,0.2,2.1,0.0,2.571,0.1861,0,6b41ae38-d111e559-110747,1,21.9,OK,etk800,DynamicABS,15.0,139.7,15.0
15:53:29,straight,etk800,StockABS1.pc,straight,1,120,0.0,0.0,1.0,1788821622-0001,126.9575,416.53,1.1549,4.58,120.0,126.96,1.155,0.00,0.2,0.2,2.0,0.0,2.539,0.1738,0,,0,17.7,OK,etk800,StockABS,15.0,140.2,15.0
15:54:10,straight,sbr,DynamicABS2.pc,straight,1,60,0.0,0.0,1.0,1788821661-0001,26.5441,87.09,1.3795,1.84,60.0,26.54,1.380,0.00,0.3,0.1,1.6,0.0,1.413,0.5576,0,6b41ae38-d111e559-110747,1,14.5,OK,sbr,DynamicABS,206.9,249.9,15.0
15:54:48,straight,sbr,StockABS2.pc,straight,1,60,0.0,0.0,1.0,1788821699-0001,26.5196,87.01,1.3808,1.84,60.0,26.52,1.381,0.00,0.3,0.2,1.3,0.0,1.573,0.4498,0,,0,14.6,OK,sbr,StockABS,202.0,247.2,15.0
15:55:27,straight,sbr,DynamicABS2.pc,straight,1,80,0.0,0.0,1.0,1788821738-0001,44.8882,147.27,1.4511,2.41,80.0,44.89,1.451,0.00,0.3,0.2,1.6,0.0,1.862,0.3397,0,6b41ae38-d111e559-110747,1,17.1,OK,sbr,DynamicABS,205.3,265.4,15.0
15:56:08,straight,sbr,StockABS2.pc,straight,1,80,0.0,0.0,1.0,1788821780-0001,44.9670,147.53,1.4486,2.42,80.0,44.97,1.449,0.00,0.3,0.2,1.9,0.0,1.933,0.3969,0,,0,16.9,OK,sbr,StockABS,207.8,261.3,15.0
