ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,yaw_rms,yaw_ratio,dmg,codekey,tele_files,wall_s,status,car_model,controller,brake_temp_start,brake_temp_end,env_temp
18:56:31,carcorner,etk800,DynamicABS1.pc,single,1,60,-0.2,0.0,1.0,1788832602-0001,34.2600,112.40,1.0688,2.41,60.0,34.62,1.058,0.20,6.2,3.4,28.4,100.0,26.967,0.3506,0,6b41ae38-d111e559-110747,1,16.2,OK,etk800,DynamicABS,15.0,47.7,15.0
18:57:11,carcorner,etk800,StockABS1.pc,single,1,60,-0.2,0.0,1.0,1788832643-0001,42.7359,140.21,0.8569,2.96,60.0,44.71,0.819,0.20,6.1,2.5,55.3,93.3,21.054,0.5357,0,,0,16.0,OK,etk800,StockABS,15.0,45.9,15.0
18:57:51,carcorner,etk800,StockABSTCESC1.pc,single,1,60,-0.2,0.0,1.0,1788832682-0001,40.0435,131.38,0.9145,2.75,60.0,41.27,0.887,0.20,6.1,2.9,45.5,96.1,22.812,0.4770,0,,0,15.8,OK,etk800,StockABS_TC_ESC,15.0,48.0,15.0
18:58:30,carcorner,etk800,DynamicABS1.pc,single,1,60,-0.5,0.0,1.0,1788832721-0001,38.8591,127.49,0.9423,2.75,60.0,40.41,0.906,0.50,15.7,10.3,56.7,97.4,81.602,0.2338,0,6b41ae38-d111e559-110747,1,16.2,OK,etk800,DynamicABS,15.0,44.2,15.0
18:59:10,carcorner,etk800,StockABS1.pc,single,1,60,-0.5,0.0,1.0,1788832761-0001,46.5462,152.71,0.7867,3.31,60.0,50.58,0.724,0.50,16.1,10.8,80.5,89.8,84.376,0.2536,0,,0,14.9,OK,etk800,StockABS,15.0,39.8,15.0
18:59:49,carcorner,etk800,StockABSTCESC1.pc,single,1,60,-0.5,0.0,1.0,1788832800-0001,46.4951,152.54,0.7876,3.30,60.0,50.41,0.726,0.50,15.9,10.6,79.6,89.9,83.859,0.2555,0,,0,14.9,OK,etk800,StockABS_TC_ESC,15.0,40.7,15.0
19:00:27,carcorner,etk800,DynamicABS1.pc,single,1,60,-1.0,0.0,1.0,1788832838-0001,42.1069,138.15,0.8696,2.97,60.0,44.28,0.827,1.00,34.3,27.6,68.9,94.0,227.562,0.1052,0,6b41ae38-d111e559-110747,1,15.9,OK,etk800,DynamicABS,15.0,39.0,15.0
19:01:07,carcorner,etk800,StockABS1.pc,single,1,60,-1.0,0.0,1.0,1788832878-0001,49.7484,163.22,0.7361,3.56,60.0,54.29,0.674,1.00,34.6,28.7,86.2,84.7,231.575,0.1062,0,,0,15.3,OK,etk800,StockABS,15.0,32.4,15.0
19:01:46,carcorner,etk800,StockABSTCESC1.pc,single,1,60,-1.0,0.0,1.0,1788832917-0001,49.7193,163.12,0.7365,3.59,60.0,54.34,0.674,1.00,34.7,28.5,88.8,84.5,230.653,0.1088,0,,0,15.6,OK,etk800,StockABS_TC_ESC,15.0,32.6,15.0
19:02:25,carcorner,sbr,DynamicABS2.pc,single,1,60,-0.2,0.0,1.0,1788832956-0001,30.2767,99.33,1.2095,2.06,60.0,30.82,1.188,0.20,6.2,2.5,34.2,100.0,25.131,0.4757,0,6b41ae38-d111e559-110747,1,14.9,OK,sbr,DynamicABS,205.3,247.5,15.0
